GENE,ATGENE,EVALUE,BITSCORE,Names,Description,DNA damage response GO:0006974,DNA metabolic process GO:0006259,biological process involved in interspec... GO:0044419,cell cycle GO:0007049,cell cycle process GO:0022402,cell death GO:0008219,cell recognition GO:0008037,cellular response to ionizing radiation GO:0071479,cellular response to iron ion GO:0071281,cellular response to stress GO:0033554,coumarin biosynthetic process GO:0009805,coumarin metabolic process GO:0009804,defense response GO:0006952,defense response to Gram-negative bacter... GO:0050829,defense response to bacterium GO:0042742,defense response to other organism GO:0098542,defense response to symbiont GO:0140546,detection of bacterium GO:0016045,detection of biotic stimulus GO:0009595,detection of external biotic stimulus GO:0098581,detection of other organism GO:0098543,double-strand break repair GO:0006302,immune response GO:0006955,immune response-activating signaling pat... GO:0002757,immune response-regulating signaling pat... GO:0002764,immune system process GO:0002376,innate immune response GO:0045087,innate immune response-activating signal... GO:0002758,mitotic cytokinesis GO:0000281,negative regulation of cell cycle GO:0045786,negative regulation of cell cycle proces... GO:0010948,pathogen-associated molecular pattern re... GO:0140426,pattern recognition receptor signaling p... GO:0002221,phosphate-containing compound metabolic ... GO:0006796,phosphorus metabolic process GO:0006793,phosphorylation GO:0016310,plant-type hypersensitive response GO:0009626,programmed cell death GO:0012501,protein desumoylation GO:0016926,protein phosphorylation GO:0006468,recognition of pollen GO:0048544,regulation of cell cycle GO:0051726,regulation of cell cycle process GO:0010564,regulation of defense response GO:0031347,regulation of immune response GO:0050776,regulation of immune system process GO:0002682,regulation of innate immune response GO:0045088,regulation of response to biotic stimulu... GO:0002831,regulation of response to external stimu... GO:0032101,regulation of response to stimulus GO:0048583,regulation of response to stress GO:0080134,response to bacterium GO:0009617,response to biotic stimulus GO:0009607,response to external biotic stimulus GO:0043207,response to external stimulus GO:0009605,response to oomycetes GO:0002239,response to other organism GO:0051707,response to stress GO:0006950,sideretin biosynthesis GO:0106146,symbiont-induced defense-related program... GO:0034050
Manes.16G069600.6,AT4G32660,0,629,AME3,Encodes protein kinase AME3.,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",X,X,X,"","","",X,"","","","","","","","","","","","","","","","","","","",""
Manes.16G071900.1,AT5G25760,1.57e-112,315,APEM7; PEROXIN4; PEX4APEM7; PEROXIN4; PEX4; UBC21; UBIQUITIN-CONJUGATING ENZYME 21,mutant displays sucrose-dependent seedling development and reduced lateral root production. PEX4 interacts with PEX22 in a yeast two-hybrid. Necessary for peroxisome biogenesis. The PEX4 and PEX22 pair may be important during the remodeling of peroxisome matrix contents as glyoxysomes transition to leaf peroxisomes.,X,X,"","","","","","","",X,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",X,"",""
Manes.16G072200.1,AT4G28940,1.45e-141,404,"",Phosphorylase superfamily protein;(source:Araport11),"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",X,"",""
Manes.16G073300.1,AT5G25930,0,1165,HAESA-LIKE 3; HSL3; NUT; PLANT SCREW UNRESPONSIVE RECEPTOR,LRR transmembrane receptor kinase. Binds SCREW phyotocytokine signaling peptides during plant immune response.,"","",X,"","","","","","","","","",X,X,X,X,"","","","","","","","","","","","","","","","","",X,X,X,"","","",X,"","","","","","","","","","","",X,X,X,X,"",X,X,"",""
Manes.16G080200.1,AT5G11850,2.04e-177,536,M3KDELTA1; MAPKKK DELTA-1; MKD1; RAF3,MAP3 kinase involved phosphorylation of a critical Ser171 for OST1/SnRK2.6 activation.,"","",X,"","",X,"","","","","","",X,"",X,X,"","","","","","","","","","","","","","","","","",X,X,X,"",X,"",X,"","","",X,"","","",X,X,X,X,X,X,X,X,X,X,X,"",""
Manes.16G081500.1,AT2G26150,1.35e-103,307,ATHSFA2; HEAT SHOCK TRANSCRIPTION FACTOR A2; HSFA2,member of Heat Stress Transcription Factor (Hsf) family. Involved in response to misfolded protein accumulation in the cytosol. Regulated by alternative splicing and non-sense-mediated decay.,"","","","","","","","","",X,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",X,"",""
Manes.16G086500.2,AT2G26300,0,615,ARABIDOPSIS THALIANA G PROTEIN ALPHA SUBUNIT 1; ATGPA1; G PROTEIN ALPHA SUBUNIT 1; GP ALPHA 1; GPA1,"Encodes an alpha subunit of a heterotrimeric GTP-binding protein. The active GTP-bound form of GPA1 binds to the GTG1 and GTG2 abscisic acid (ABA) receptors and appears to affect their GTPase and GTP-binding activity, and hence, ABA binding abilities. GPA1 is a positive regulator in ABA-mediated inhibition of stomatal opening. Plants with recessive mutant alleles have complex phenotypes including: reduced brassinolide response, reduced cell divisions, round leaves, short hypocotyls.  It is likely to be involved in the signaling events that trigger unfolded protein response-associated cell death. GPA1 is also involved in sugar signaling.The mRNA is cell-to-cell mobile.Encodes an alpha subunit of a heterotrimeric GTP-binding protein. The active GTP-bound form of GPA1 binds to the GTG1 and GTG2 abscisic acid (ABA) receptors and appears to affect their GTPase and GTP-binding activity, and hence, ABA binding abilities. GPA1 is a positive regulator in ABA-mediated inhibition of stomatal opening. Plants with recessive mutant alleles have complex phenotypes including: reduced brassinolide response, reduced cell divisions, round leaves, short hypocotyls.  It is likely to be involved in the signaling events that trigger unfolded protein response-associated cell death. GPA1 is also involved in sugar signaling. The mRNA is cell-to-cell mobile.","","",X,"","",X,"","","",X,"","","","","","","","","","","","","","","","","","","","","","","","","","","",X,"","","","","","","","","","","",X,"",X,X,X,X,"",X,X,"",""
Manes.16G089000.1,AT3G14310,0,729,ATPME3; OVERLY ZINC SENSITIVE 2; OZS2; PECTIN METHYLESTERASE 3; PME3,"encodes a pectin methylesterase, targeted by a cellulose binding protein (CBP) from the parasitic nematode Heterodera schachtii during parasitism.","","",X,"","","","","","","","","",X,X,X,X,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",X,X,X,X,"",X,X,"",""
Manes.16G097000.1,AT2G31670,3.08e-97,285,UP3,Stress responsive alpha-beta barrel domain protein;(source:Araport11),"","",X,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",X,X,X,"",X,"","",""
Manes.16G101000.4,AT5G56960,8.25e-52,184,"",basic helix-loop-helix (bHLH) DNA-binding family protein;(source:Araport11),"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",X,"",""
Manes.16G101700.2,AT5G56890,0,941,"",Protein kinase superfamily protein;(source:Araport11),"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",X,X,X,"","","",X,"","","","","","","","","","","","","","","","","","","",""
Manes.16G107300.1,AT4G29330,5.01e-128,362,DER1; DERLIN-1,DERLIN-1;(source:Araport11),"","","","","","","","","",X,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",X,"",""
Manes.16G118700.3,AT1G15460,0,969,ARABIDOPSIS THALIANA REQUIRES HIGH BORON 4; ATBOR4; BOR4; REQUIRES HIGH BORON 4,Encodes a efflux-type boron transporter. Over-expression improved plant growth under B toxic conditions.,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",X,"","","","",""
Manes.16G122500.2,AT1G56140,2.61e-172,518,IGP4; IMPAIRED IN GLYCAN PERCEPTION 4,Component of a recognition mechanism for both cellulose and MLG-derived oligosaccharides  perception and downstream Pattern-Triggered Immunity (PTI).,"","",X,"","","","","","","","","",X,"","",X,X,"","","","","",X,"","",X,X,"","","","","","",X,X,X,"","","",X,"","","",X,X,X,X,X,X,X,X,"",X,X,X,"",X,X,"",""
Manes.16G124800.3,AT1G15750,0,1248,TOPLESS; TPL; WSIP1; WUS-INTERACTING PROTEIN 1,"Encodes a protein with several WD40 repeats at the C-terminus and predicted protein-protein interaction domains at the N-terminus.  Together with the TOPLESS-RELATED PROTEINS (TPRs), it is thought to be involved in transcriptional repression of root-promoting genes in the top help of the embryo during the transition stage of embryogenesis.  The ability of IAA12 to repress transcription is diminished in a tpl-1 mutant background.Encodes a protein with several WD40 repeats at the C-terminus and predicted protein-protein interaction domains at the N-terminus.  Together with the TOPLESS-RELATED PROTEINS (TPRs), it is thought to be involved in transcriptional repression of root-promoting genes in the top help of the embryo during the transition stage of embryogenesis. The ability of IAA12 to repress transcription is diminished in a tpl-1 mutant background.Encodes a protein with several WD40 repeats at the C-terminus and predicted protein-protein interaction domains at the N-terminus.  Together with the TOPLESS-RELATED PROTEINS (TPRs), it is thought to be involved in transcriptional repression of root-promoting genes in the top half of the embryo during the transition stage of embryogenesis. It can also interact with IAA12 through the EAR domain of IAA12 and the CTLH domain of TPL. The ability of IAA12 to repress transcription is diminished in a tpl-1 mutant background.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",X,"","","","","","","","","",""
Manes.16G126200.1,AT5G11040,0,1782,ATTRS120; TRAPPC9; TRS120; VAN4; VASCULAR NETWORK DEFECTIVE 4,Encodes a tethering factor required for cell plate biogenesis.,"","","",X,X,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Manes.16G128900.1,AT1G80840,5e-80,245,ATWRKY40; WRKY DNA-BINDING PROTEIN 40; WRKY40,"Pathogen-induced transcription factor. Binds W-box sequences  in vitro. Forms protein complexes with itself and with WRKY40 and WRKY60. Coexpression with WRKY18 or WRKY60 made plants more susceptible to both P. syringae and B. cinerea. WRKY18, WRKY40, and WRKY60 have partially redundant roles in response to the hemibiotrophic bacterial pathogen Pseudomonas syringae and the necrotrophic fungal pathogen Botrytis cinerea, with WRKY18 playing a more important role than the other two. The mRNA is cell-to-cell mobile.","","",X,"","","","","","","","","",X,"",X,X,X,"","","","","","","","","","","","","","","","","","","","","","","","","","",X,"","","",X,X,X,X,X,X,X,X,"",X,X,"",""
Manes.16G129700.4,AT2G42260,4.45e-67,208,POLYCHOME; PYM; UV-B-INSENSITIVE 4; UVI4,Encodes a novel plant-specific protein of unknown function. The UVI4 gene is expressed mainly in actively dividing cells. The hypocotyl cells in mutant seedlings undergo one extra round of endoreduplication. The uvi4 mutation also promoted the progression of endo-reduplication during leaf development.,"",X,X,X,X,"","","","","","","",X,"",X,X,"","","","","","","","","","","","","","","","","","","","","","","","","",X,X,X,"","","",X,X,X,X,X,X,X,X,"",X,X,"",""
Manes.17G004600.2,AT3G23640,0,1100,HETEROGLYCAN GLUCOSIDASE 1; HGL1,"Protein which interacts with Feronia; likely involved in FER-mediated intracellular signaling pathways that are essential in plant growth and development, and possibly plant immunity.","","",X,"","","","","","","","","",X,"",X,X,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",X,X,X,X,"",X,X,"",""
Manes.17G007000.1,AT5G45380,0,1091,ATDUR3; DEGRADATION OF UREA 3; DUR3,urea-proton symporter DEGRADATION OF UREA 3 (DUR3);(source:Araport11),"","","","","","","","","",X,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",X,"","",X,"",""
Manes.17G013400.2,AT4G17870,8.11e-99,285,PYR1; PYRABACTIN RESISTANCE 1; RCAR11; REGULATORY COMPONENT OF ABA RECEPTOR 11,Encodes a member of the PYR (pyrabactin resistance  )/PYL(PYR1-like)/RCAR (regulatory components of ABA receptor) family proteins with 14 members.  PYR/PYL/RCAR family proteins function as abscisic acid sensors. Mediate ABA-dependent regulation of protein phosphatase 2Cs ABI1 and ABI2.,"","","","","","","","","","","","",X,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",X,X,"","","","","","",X,"",""
Manes.17G014950.1,AT4G08850,0,843,MDIS1-INTERACTING RECEPTOR LIKE KINASE2; MIK2,"MIK1 encodes a receptor kinase that forms a complex with MDIS1/MIK2 and binds LURE1, the female pollen guidance chemi-attractant. MIK1 phosphorylates MDIS1 and is autophosphorylated.","","",X,"","","","","","","","","",X,"","",X,"","","","","","","","","","","","","","","","","",X,X,X,"","","",X,"","","",X,"","","","","",X,X,X,X,X,X,"",X,X,"",""
Manes.17G020000.1,AT5G47060,5.89e-46,147,"",hypothetical protein (DUF581);(source:Araport11),"","","","","","","","","",X,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",X,"","",X,"",""
Manes.17G023000.2,AT5G39890,8.01e-115,332,HUP43; HYPOXIA  RESPONSE UNKNOWN PROTEIN  43; PCO2; PLANT CYSTEINE OXIDASE 2HUP43; HYPOXIA  RESPONSE UNKNOWN PROTEIN  43,Plant Cysteine Oxidase (PCO). Involved in controlling the stability of  Group VII ethylene response factors (ERF-VIIs) via N-Arg/degron pathway through  catalyzing the oxidation of their N-Cys for subsequent Arginyl-tRNA--protein  transferase 1 (ATE1) mediated arginine installation.,"","","","","","","","","",X,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",X,"",""
Manes.17G023200.15,AT5G39900,0,1067,"",Small GTP-binding protein;(source:Araport11),"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",X,"",""
Manes.17G027400.1,AT3G49250,1.07e-142,412,DEFECTIVE IN MERISTEM SILENCING 3; DMS3; IDN1; INVOLVED IN DE NOVO 1,Similar to hinge-domain region of structural maintenance of chromosomes (SMC)proteins.Putative chromosome architecture protein that can potentialy link nucleic acids in facilitating an RNA1-mediated epigenetic modification involving secondary siRNA and spreading of DNA methylation.,X,X,"","","","","","","",X,"","","","","","","","","","","",X,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",X,"",""
Manes.17G027800.1,AT4G22130,0,1001,SRF8; STRUBBELIG-RECEPTOR FAMILY 8,STRUBBELIG-receptor family 8;(source:Araport11),"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",X,X,X,"","","",X,"","","","","","","","","","","","","","","","","","","",""
Manes.17G029200.2,AT4G05220,1.65e-96,281,NHL21,Late embryogenesis abundant (LEA) hydroxyproline-rich glycoprotein family;(source:Araport11),"","",X,"","","","","","","","","",X,"","",X,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",X,X,X,"",X,X,"",""
Manes.17G029500.2,AT4G23180,1.08e-180,528,CRK10; CYSTEINE-RICH RLK (RECEPTOR-LIKE PROTEIN KINASE) 10; RLK4,Encodes a receptor-like protein kinase. Naming convention from Chen et al 2003 (PMID 14756307)The mRNA is cell-to-cell mobile.Encodes a receptor-like protein kinase. Naming convention from Chen et al 2003 (PMID 14756307) The mRNA is cell-to-cell mobile.,"","",X,"","",X,"","","",X,"","",X,"",X,X,X,"","","","","",X,"","",X,X,"","","","","","","","","",X,X,"","","","","","","","","","","","","",X,X,X,X,"",X,X,"",X
Manes.17G029700.1,AT4G05200,0,684,CRK25; CYSTEINE-RICH RLK (RECEPTOR-LIKE PROTEIN KINASE) 25,Encodes a cysteine-rich receptor-like protein kinase.,"","",X,"","",X,"","","",X,"","",X,"",X,X,X,"","","","","",X,"","",X,X,"","","","","","","","","",X,X,"","","","","","","","","","","","","",X,X,X,X,"",X,X,"",X
Manes.17G029800.2,AT4G05200,0,658,CRK25; CYSTEINE-RICH RLK (RECEPTOR-LIKE PROTEIN KINASE) 25,Encodes a cysteine-rich receptor-like protein kinase.,"","",X,"","",X,"","","",X,"","",X,"",X,X,X,"","","","","",X,"","",X,X,"","","","","","","","","",X,X,"","","","","","","","","","","","","",X,X,X,X,"",X,X,"",X
Manes.17G031400.1,AT1G11340,0,756,"",G-type lectin S-receptor-like Serine/Threonine-kinase;(source:Araport11),"","","","","","",X,"","","","","","","","","","","","","","","",X,"","",X,"","","","","","","","","","","","","","",X,"","","","","","","","","","","","","","","","","","",""
Manes.17G031900.3,AT1G11340,0,780,"",G-type lectin S-receptor-like Serine/Threonine-kinase;(source:Araport11),"","","","","","",X,"","","","","","","","","","","","","","","",X,"","",X,"","","","","","","","","","","","","","",X,"","","","","","","","","","","","","","","","","","",""
Manes.17G032100.1,AT4G27290,0,749,"",S-locus lectin protein kinase family protein;(source:Araport11),"","","","","","",X,"","","","","","","","","","","","","","","",X,"","",X,"","","","","","","","","","","","","","",X,"","","","","","","","","","","","","","","","","","",""
Manes.17G032200.1,AT4G21380,0,1055,ARK3; RECEPTOR KINASE 3; RK3,"encodes a putative receptor-like serine/threonine protein kinases that is similar to Brassica self-incompatibility (S) locus. Expressed in root. Shoot expression limited to limited to the root-hypocotyl transition zone and at the base of lateral roots as well as in axillary buds, and pedicels.","","","","","","",X,"","","","","","","","","","","","","","","",X,"","",X,"","","","","","","",X,X,X,"","","",X,X,"","","","","","","","","","","","","","","","","","",""
Manes.17G033105.1,AT2G31180,8.77e-48,152,ARABIDOPSIS THALIANA MYB DOMAIN PROTEIN 14; ATMYB14; MYB DOMAIN PROTEIN 14; MYB14; MYB14AT,Member of the R2R3 factor gene family.,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",X,"",""
Manes.17G033500.2,AT4G21450,4.2e-127,366,"",PapD-like superfamily protein;(source:Araport11),"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",X,"",""
Manes.17G036500.2,AT5G28237,2.91e-150,427,TSB4,Possibly involved in trp synthesis independent of the TSA subunit.,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",X,"",""
Manes.17G036800.4,AT1G61800,0,612,ARABIDOPSIS GLUCOSE-6-PHOSPHATE/PHOSPHATE TRANSLOCATOR 2; ATGPT2; GLUCOSE-6-PHOSPHATE/PHOSPHATE TRANSLOCATOR 2; GPT2,"glucose6-Phosphate/phosphate transporter 2. Expression is upregulated in the shoot of cax1/cax3 mutant. The mRNA is cell-to-cell mobile.glucose6-Phosphate/phosphate transporter 2, prefers to exchange Pi or Triose-P for G6P, targets only plastids. Expression is upregulated in the shoot of cax1/cax3 mutant.The mRNA is cell-to-cell mobile.","","",X,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",X,X,X,"",X,"","",""
Manes.17G038800.3,AT4G21960,0,559,PRXR1,Encodes AT4g21960 (AT4g21960/T8O5_170). The mRNA is cell-to-cell mobile.,"","",X,"","","","","","","","","",X,"","",X,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",X,X,X,"",X,X,"",""
Manes.17G046200.1,AT4G04960,0,825,L-TYPE LECTIN RECEPTOR KINASE VII.1; LECRK-VII.1,Concanavalin A-like lectin protein kinase family protein;(source:Araport11),"","",X,"","","","","","","","","",X,"",X,X,"","","","","","","","","","","","","","","","","",X,X,X,"","","",X,"","","","","","","","","","","",X,X,X,X,X,X,X,"",""
Manes.17G050800.5,AT1G28520,0,711,ATVOZ1; VASCULAR PLANT ONE ZINC FINGER PROTEIN; VOZ1VASCULAR PLANT ONE ZINC FINGER PROTEIN; VOZ1,VOZ transcription factor which acts as positive regulator of several salt-responsive genes. Functionally redundant in salt stress with VOZ2.,"","",X,"","","","","","","","","",X,"",X,X,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",X,"",X,X,X,X,"",X,X,"",""
Manes.17G052100.1,AT2G29120,6.4e-145,454,ATGLR2.7; GLR2.7; GLUTAMATE RECEPTOR  2.7; GLUTAMATE RECEPTOR 2.7,member of Putative ligand-gated ion channel subunit family,"","",X,"","","","","","","","","",X,"",X,X,X,"","","","","",X,"","",X,X,"","","","","","","","","","","","","","","","",X,X,X,X,X,X,X,X,X,X,X,X,"",X,X,"",""
Manes.17G054300.1,AT5G45890,2.21e-142,406,ATSAG12; SAG12; SENESCENCE-ASSOCIATED GENE 12,"Senescence-associated gene 12 (SAG12) encoding a cysteine protease influenced by cytokinin, auxin, and sugars.Localized to special vacuole found during senescence called senescence associated vacuoles which are different from central vacuole in the tonoplast composition and pH.","","",X,"","",X,"","","",X,"","",X,"","",X,X,"","","","","",X,"","",X,X,"","","","","","","","","",X,X,"","","","","","","","","","","","","","",X,X,X,"",X,X,"",X
Manes.17G055200.1,AT3G14470,0,748,LEUCINE RICH REPEAT PROTEIN 1; LRR4,NB-ARC domain-containing disease resistance protein;(source:Araport11),"","",X,"","","","","","","","","",X,X,X,X,"","","","","","",X,"","",X,"","","","","","","","","","","","","","","","","","",X,X,"","","",X,"",X,X,X,X,"",X,X,"",""
Manes.17G057700.1,AT3G47570,0,609,"",Leucine-rich repeat protein kinase family protein;(source:Araport11),"","",X,"","",X,"","","",X,"","",X,"","",X,X,X,X,X,X,"",X,X,X,X,X,X,"","","",X,X,X,X,X,X,X,"",X,"","","",X,X,X,X,X,X,X,X,X,X,X,X,"",X,X,"",X
Manes.17G060201.2,AT4G32300,1.12e-139,433,S-DOMAIN-2 5; SD2-5,S-domain-2 5;(source:Araport11),"","","","","","",X,"","","","","","","","","","","","","","","","","","","","","","","","","","",X,X,X,"","","",X,X,"","","","","","","","","","","","","","","","","","",""
Manes.17G060600.1,AT4G18880,7.6e-147,422,ARABIDOPSIS THALIANA HEAT SHOCK TRANSCRIPTION FACTOR  A4A; AT-HSFA4A; HEAT SHOCK TRANSCRIPTION FACTOR  A4A; HSF A4A,Encodes a member of Heat Stress Transcription Factor(Hsf) family that is a substrate of the MPK3/MPK6 signaling and regulates stress responses.,"","","","","","","","","",X,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",X,"","",X,"",""
Manes.17G061200.4,AT1G29750,0,1224,RECEPTOR-LIKE KINASE IN FLOWERS 1; RKF1,"Receptor-like serine/threonine kinase (RKF1). The putative extracellular domain of the RKF1 protein contains 13 tandem repeats of leucine-rich sequences. Expressed in early flower primordial, stamen, and pollen grains.","","",X,"","","","","","","","","",X,"","",X,X,"","","","","",X,"","",X,X,"","","","","","",X,X,X,"","","",X,"","","",X,X,X,X,X,X,X,X,"",X,X,X,"",X,X,"",""
Manes.17G061300.4,AT3G14840,0,946,LIK1; LYSM RLK1-INTERACTING KINASE 1,"Encodes LRR-RLK protein that  is localized to the plasma membrane and is involved in regulation of plant innate immunity to microbes. LIK1 is phosphorylated by CERK1, a kinase involved in chitin perception. The mRNA is cell-to-cell mobile.","","",X,"","","","","","","","","",X,"","",X,X,"","","","","",X,"","",X,X,"","","","","","",X,X,X,"","","",X,"","","",X,X,X,X,X,X,X,X,"",X,X,X,"",X,X,"",""
Manes.17G061400.1,AT3G14840,0,985,LIK1; LYSM RLK1-INTERACTING KINASE 1,"Encodes LRR-RLK protein that  is localized to the plasma membrane and is involved in regulation of plant innate immunity to microbes. LIK1 is phosphorylated by CERK1, a kinase involved in chitin perception. The mRNA is cell-to-cell mobile.","","",X,"","","","","","","","","",X,"","",X,X,"","","","","",X,"","",X,X,"","","","","","",X,X,X,"","","",X,"","","",X,X,X,X,X,X,X,X,"",X,X,X,"",X,X,"",""
Manes.17G061450.1,AT1G53440,2.37e-44,159,"",Leucine-rich repeat transmembrane protein kinase;(source:Araport11),"","",X,"","","","","","","","","",X,"","",X,X,"","","","","",X,"","",X,X,"","","","","","",X,X,X,"","","",X,"","","",X,X,X,X,X,X,X,X,"",X,X,X,"",X,X,"",""
Manes.17G061800.3,AT4G18930,1.52e-77,231,"",RNA ligase/cyclic nucleotide phosphodiesterase family protein;(source:Araport11),"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",X,X,"","","","","","","","","","","","","","","","","","","","","","","","",""
Manes.17G067050.1,AT5G46330,0,1088,FLAGELLIN-SENSITIVE 2; FLS2; MPL12.8,"Encodes a leucine-rich repeat serine/threonine protein kinase that is expressed ubiquitously. FLS2 is involved in MAP kinase signalling relay involved in innate immunity. Essential in the perception of flagellin, a potent elicitor of the defense response.  FLS2 is directed for degradation by the bacterial ubiquitin ligase AvrPtoB. The mRNA is cell-to-cell mobile.Encodes a leucine-rich repeat serine/threonine protein kinase that is expressed ubiquitously. FLS2 is involved in MAP kinase signalling relay involved in innate immunity. Essential in the perception of flagellin, a potent elicitor of the defense response.  FLS2 is directed for degradation by the bacterial ubiquitin ligase AvrPtoB.The mRNA is cell-to-cell mobile.","","",X,"","","","","","",X,"","",X,"",X,X,X,X,X,X,X,"",X,X,X,X,X,X,"","","",X,X,X,X,X,"","","",X,"","","",X,X,X,X,X,X,X,X,X,X,X,X,"",X,X,"",""
Manes.17G072100.2,AT3G14470,0,705,LEUCINE RICH REPEAT PROTEIN 1; LRR4,NB-ARC domain-containing disease resistance protein;(source:Araport11),"","",X,"","","","","","","","","",X,X,X,X,"","","","","","",X,"","",X,"","","","","","","","","","","","","","","","","","",X,X,"","","",X,"",X,X,X,X,"",X,X,"",""
Manes.17G072300.1,AT5G46180,0,756,DELTA-OAT; ORNITHINE-DELTA-AMINOTRANSFERASE,"Encodes an ornithine delta-aminotransferase that is transcriptionally up-regulated in young seedlings and in response to salt stress. It is unlikely to play a role in salt-stress-induced proline accumulation, however, it appears to participate in arginine and ornithine catabolism.","","",X,"","",X,"","","",X,"","",X,"",X,X,X,"","","","","",X,"","",X,X,"","","","","","","","","",X,X,"","","","","","","","","","","","","",X,X,X,X,"",X,X,"",X
Manes.17G074900.1,AT4G21070,6.33e-147,462,ARABIDOPSIS THALIANA BREAST CANCER SUSCEPTIBILITY1; ATBRCA1; BRCA1; BREAST CANCER SUSCEPTIBILITY1,"Encodes AtBRCA1, an ortholog of the human breast cancer susceptibility gene 1. Contains one N-terminal RING finger, two C-terminal BRCT and the p300/CBP interacting domain. Strongly induced by gamma rays, consistent with a putative role in DNA repair and in cell cycle control.",X,X,"","","","","",X,"",X,"","","","","","","","","","","",X,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",X,"",""
Manes.17G078800.1,AT1G70830,1.72e-50,164,MLP-LIKE PROTEIN 28; MLP28,MLP-like protein 28;(source:Araport11),"","","","","","","","","","","","",X,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",X,"",""
Manes.17G079732.1,AT1G70830,6.54e-34,120,MLP-LIKE PROTEIN 28; MLP28,MLP-like protein 28;(source:Araport11),"","","","","","","","","","","","",X,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",X,"",""
Manes.17G081100.1,AT1G23200,0,567,HIGHLY METHYL ESTERIFIED SEEDS; HMS; PECTIN METHYLESTERASE6; PME6,"ProPME pectin methyl esterase involved in embryo development, stomatal function, mucilage release.","","",X,"","","","","","","","","",X,X,X,X,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",X,X,X,X,"",X,X,"",""
Manes.17G082600.2,AT1G70670,1.79e-80,238,ARABIDOPSIS THALIANA CALEOSIN 4; ATCLO4; CALEOSIN 4; CLO4; PEROXYGENASE 4; PXG4,The gene encodes a stress-responsive and OB-associated non-seed caleosin-like protein. It plays a negative regulator role in ABA signaling.,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",X,"",""
Manes.17G083300.1,AT2G30840,7.8e-107,317,"",encodes a protein whose sequence is similar to 2-oxoglutarate-dependent dioxygenase,"","",X,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",X,X,X,"",X,"","",""
Manes.17G084300.1,AT2G34930,2.7e-151,469,"",disease resistance family protein / LRR family protein;(source:Araport11),"","",X,"","","","","","","","","",X,"","",X,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",X,X,X,X,X,X,"",""
